timestamp,altitude_ft,airspeed_kts,roll_angle_deg,flap_lever_position,left_flap_angle_deg,right_flap_angle_deg,green_hydraulic_pressure_psi,autopilot_status,ptu_status,right_flap_sensor_normal_output_deg,right_flap_sensor_faulty_output_deg,left_flap_sensor_faulty_output_deg,asymmetry_sensor_delta_deg,vertical_g_force,left_flap_motor_current,cabin_altitude_ft,rate_of_climb_fpm,engine_1_vibration_n1,engine_1_egt_degc,ecam_alerts
0.0,0,0.0,0.04605748171145867,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,-0.0,0.10076042735603255,450.0,[]
1.0,0,14.0,-0.18131572378692623,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.07671659067199071,450.0,[]
2.0,0,28.0,-0.013867560736753673,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.12639153799118105,450.0,[]
3.0,0,42.0,0.08143995705469445,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.100019868701288,450.0,[]
4.0,0,56.0,-0.14984487477357955,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.0712961778059056,450.0,[]
5.0,0,70.0,-0.03414811577897363,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10923116976623923,450.0,[]
6.0,2500,84.0,-0.07558172229797684,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.09093405348082989,450.0,[]
7.0,5000,98.0,-0.11382202323810969,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.11783582810276999,450.0,[]
8.0,7500,112.0,-0.06850898785857738,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.09031973171344562,450.0,[]
9.0,10000,126.0,-0.007017722219122335,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.07719672307409624,450.0,[]
10.0,12500,140.0,0.1214959351962143,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.07421256327973262,450.0,[]
11.0,15000,154.0,0.010671393946899609,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.10532804176089823,450.0,[]
12.0,17500,168.0,0.016114290577268625,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.08508216170621417,450.0,[]
13.0,20000,182.0,0.05966362222099362,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.08015367094921666,450.0,[]
14.0,22500,196.0,-0.023459893987467877,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.09176907601865487,450.0,[]
15.0,25000,210.0,0.02621324186118587,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.07878196956099871,450.0,[]
16.0,27500,224.0,0.09279587507305033,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.11477725664813393,450.0,[]
17.0,30000,238.0,-0.0989888600110091,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.1263255919355665,450.0,[]
18.0,32500,252.0,0.019222888040471755,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.11465002209983431,450.0,[]
19.0,35000,266.0,-0.08852841350047438,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,150000.0,0.09401405809622557,450.0,[]
20.0,35000,280.0,-0.06151797377420032,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.08112748115247109,450.0,[]
21.0,35000,280.0,-0.1193165379761117,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.0818899679251729,450.0,[]
22.0,35000,280.0,0.1479250104663717,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09618198201242618,450.0,[]
23.0,35000,280.0,-0.05296425449497099,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.07697071443846154,450.0,[]
24.0,35000,280.0,-0.07564749805059438,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.08927638891715507,450.0,[]
25.0,35000,280.0,0.0532547450572085,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.07407858905519096,450.0,[]
26.0,35000,280.0,-0.02232826549419416,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.14384260845190308,450.0,[]
27.0,35000,280.0,0.036596578440522574,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10684534710639475,450.0,[]
28.0,35000,280.0,0.06029270782099751,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.08964842967042089,450.0,[]
29.0,35000,280.0,0.040199621761411716,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.11307014871890873,450.0,[]
30.0,35000,280.0,-0.06516254393123681,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10193130380348095,450.0,[]
31.0,35000,280.0,-0.04967820575120044,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.13289484426396983,450.0,[]
32.0,35000,280.0,-0.10613290668409253,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.16198507771721032,450.0,[]
33.0,35000,280.0,-0.04707395269269039,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.14556143898202786,450.0,[]
34.0,35000,280.0,0.09446261712856982,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.12174616806128385,450.0,[]
35.0,35000,280.0,0.06143597245527789,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.08672616408770989,450.0,[]
36.0,35000,280.0,0.022933300311027083,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10230656693875073,450.0,[]
37.0,35000,280.0,0.12493804943779292,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.11986302754236754,450.0,[]
38.0,35000,280.0,0.04040535096033359,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09856088319984432,450.0,[]
39.0,35000,280.0,-0.1845100878591498,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.11322373102356065,450.0,[]
40.0,35000,280.0,-0.10847461156971282,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.08951803468324487,450.0,[]
41.0,35000,280.0,0.06226039621721964,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.08551820160899958,450.0,[]
42.0,35000,280.0,0.10691287687573958,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.12311785239581549,450.0,[]
43.0,35000,280.0,0.005140920761603374,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.07145782439029713,450.0,[]
44.0,35000,280.0,-0.008364903335713976,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09984612553677204,450.0,[]
45.0,35000,280.0,-0.13328855596707476,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.10176669655229084,450.0,[]
46.0,35000,280.0,0.16669742843395297,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.07707642495709251,450.0,[]
47.0,35000,280.0,0.04484613512316609,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.09015998443439749,450.0,[]
48.0,35000,280.0,0.027409562216457312,0,0.0,0.0,3000.0,1,0,0.0,0.0,0.0,0.0,1.0,10.0,8000.0,0.0,0.1028350717013267,450.0,[]
